"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join";"area_rdb";"include_in_table_2.1";"comments_dev";"area_rdbes"
"1";"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"126281";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Anguilla anguilla";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"2";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus";"27.3.c.22,27.3.b.23,27.3.d.24";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24"
"3";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28.2,27.3.d.29,27.3.d.32";"yes";"";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28.2,27.3.d.29,27.3.d.32"
"4";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"03D.RG";"28.1";"27_3_D_28_1";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus";"27.3.d.28.1";"yes";"";"27.3.d.28.1"
"5";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"FIDES match";"Clupea harengus";"27.3.d.30,27.3.d.31";"yes";"";"27.3.d.30,27.3.d.31"
"6";"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"127178";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Coregonus albula";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"7";"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"127180";"No TAC";"3d";"27_3_D";"";"";"Coregonus lavaretus";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2";"yes";"";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"8";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"FIDES match";"Gadus morhua";"27.3.c.22,27.3.b.23,27.3.d.24";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24"
"9";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"FIDES match";"Gadus morhua";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"10";"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"127139";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Limanda limanda";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"11";"Baltic Sea";"Perch";"Perca fluviatilis";"ICES";NA;"FPE";"151353";"No TAC";"3d";"27_3_D";"";"";"Perca fluviatilis";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2";"yes";"";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"12";"Baltic Sea";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"127141";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Platichthys flesus";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"13";"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"127143";"3BCD-C";"21-23";"27_3_A_21,27_3_C_22,27_3_B_23";"";"No FIDES match";"Pleuronectes platessa";"27.3.a.21,27.3.c.22,27.3.b.23";"yes";"";"27.3.a.21,27.3.c.22,27.3.b.23"
"14";"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"127143";"3BCD-C";"24-32";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"No FIDES match";"Pleuronectes platessa";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"15";"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"127186";"3BCD-F";"22-31";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31";"";"FIDES match";"Salmo salar";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31"
"16";"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"127186";"3D32.";"32";"27_3_D_32";"";"No FIDES match";"Salmo salar";"27.3.d.32";"yes";"";"27.3.d.32"
"17";"Baltic Sea";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"127187";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Salmo trutta";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"18";"Baltic Sea";"Pike-perch";"Sander lucioperca";"ICES";NA;"FPP";"151308";"No TAC";"3d";"27_3_D";"";"";"Sander lucioperca";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2";"yes";"";"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"19";"Baltic Sea";"Turbot";"Scophthalmus maximus";"ICES";NA;"TUR";"127149";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Scophthalmus maximus";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
