"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";;"ELE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";;;;
"Baltic Sea";"Herring";"Clupea harengus";"ICES";;"HER";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";;"FIDES match (no entries in TAC reg 2021)";;
"Baltic Sea";"Herring";"Clupea harengus";"ICES";;"HER";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";;"FIDES match (no entries in TAC reg 2021)";;
"Baltic Sea";"Herring";"Clupea harengus";"ICES";;"HER";"03D.RG";"28.1";"27_3_D_28_1";;"FIDES match (no entries in TAC reg 2021)";;
"Baltic Sea";"Herring";"Clupea harengus";"ICES";;"HER";"30/31.";"30-31";"27_3_D_30,27_3_D_31";;"FIDES match";;
"Baltic Sea";"Vendace";"Coregonus albula";"ICES";;"FVE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";;;;
"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";;"PLN";"No TAC";"3d";"27_3_D";;;;
"Baltic Sea";"Cod";"Gadus morhua";"ICES";;"COD";"3BC+24";"22-24";"27_3_C_22, 27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"FIDES match";;
"Baltic Sea";"Cod";"Gadus morhua";"ICES";;"COD";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"FIDES match";;
"Baltic Sea";"Dab";"Limanda limanda";"ICES";;"DAB";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";;;;
