"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";"X";"X.1";"area_rdb"
"1";"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"2";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"FIDES match (no entries in TAC reg 2021)";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24"
"3";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"FIDES match (no entries in TAC reg 2021)";NA;NA;"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28.2,27.3.d.29,27.3.d.32"
"4";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"03D.RG";"28.1";"27_3_D_28_1";"";"FIDES match (no entries in TAC reg 2021)";NA;NA;"27.3.d.28.1"
"5";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"FIDES match";NA;NA;"27.3.d.30,27.3.d.31"
"6";"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"7";"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"No TAC";"3d";"27_3_D";"";"";NA;NA;"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2"
"8";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"FIDES match";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24"
"9";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"FIDES match";NA;NA;"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"10";"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"11";"Baltic Sea";"Perch";"Perca fluviatilis";"ICES";NA;"FPE";"No TAC";"3d";"27_3_D";"";"";NA;NA;"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2"
