"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join"
"1";"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"126281";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Anguilla anguilla"
"2";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus"
"3";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus"
"4";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"03D.RG";"28.1";"27_3_D_28_1";"";"FIDES match (no entries in TAC reg 2021)";"Clupea harengus"
"5";"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"FIDES match";"Clupea harengus"
"6";"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"127178";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Coregonus albula"
"7";"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"127180";"No TAC";"3d";"27_3_D";"";"";"Coregonus lavaretus"
"8";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"3BC+24";"22-24";"27_3_C_22, 27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"FIDES match";"Gadus morhua"
"9";"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"FIDES match";"Gadus morhua"
"10";"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"127139";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Limanda limanda"
